Stock,Local Outlier Factor,Isolation Forest,Is both
REPL,1,1,False
REVG,1,1,False
RFIL,1,1,False
RFL,1,1,False
RGBP,1,1,False
RGBPP,1,1,False
RGCO,1,1,False
RGIN,1,1,False
RGP,1,1,False
RGS,1,1,False
RICK,1,1,False
RIME,1,1,False
RJF,1,1,False
RL,1,1,False
RLGT,1,1,False
RMCF,1,1,False
RMD,1,1,False
RMHI,1,1,False
RMR,1,1,False
ROAD,1,1,False
ROII,1,1,False
ROIV,1,1,False
ROK,1,1,False
RPM,1,1,False
RSKIA,1,1,False
RSMDF,1,1,False
RSSS,1,1,False
RSVR,1,1,False
RSVRW,1,1,False
RVSB,1,1,False
RYES,1,1,False
RZLT,1,1,False
SANM,1,1,False
SANW,1,1,False
SAR,1,1,False
SBH,1,1,False
SBUX,1,1,False
SCHL,1,1,False
SCSC,1,1,False
SDCH,1,1,False
SENEA,1,1,False
SENEB,1,1,False
SFIX,1,1,False
SGLY,1,1,False
SGU,1,1,False
SHGI,1,1,False
SHMP,1,1,False
SHMY,1,1,False
SHRG,1,1,False
SISI,1,1,False
SJM,1,1,False
SKKY,1,1,False
SKY,1,1,False
SLDC,1,1,False
SLP,1,1,False
SLQT,1,1,False
SMBC,1,1,False
SMCI,1,1,False
SMG,1,1,False
SMME,1,1,False
SMPL,1,1,False
SNEX,1,1,False
SNOA,1,1,False
SNPS,1,1,False
SNTW,1,1,False
SODI,1,1,False
SONN,1,1,False
SONO,1,1,False
SOTK,1,1,False
SPB,1,1,False
SPEV,1,1,False
SPH,1,1,False
SPHR,1,1,False
SR,1,1,False
SRAX,1,1,False
SRCO,1,1,False
SRDX,1,1,False
SRGZ,1,1,False
SSY,1,1,False
STAL,1,1,False
STCN,1,1,False
STE,1,1,False
STEP,1,1,False
STRT,1,1,False
STX,1,1,False
STZ,1,1,False
SUND,1,1,False
SUWN,1,-1,False
SVBL,1,1,False
SVMB,1,1,False
SWBI,1,1,False
SWKS,1,1,False
SXI,1,1,False
SYM,1,1,False
SYNA,1,1,False
SYY,1,1,False
TAYD,1,1,False
TCCO,1,1,False
TCS,1,1,False
TDG,1,1,False
TECH,1,1,False
TEL,1,1,False
TFSL,1,1,False
TGGI,1,1,False
TGI,1,1,False
TGL,1,1,False
THER,1,1,False
THO,1,1,False
THR,1,1,False
TIKK,1,1,False
TKCM,1,1,False
TLRY,1,-1,False
TMGI,1,1,False
TMRC,1,1,False
TOL,1,1,False
TPCS,1,1,False
TPR,1,1,False
TRAK,1,1,False
TRCK,1,1,False
TRNS,1,1,False
TRT,1,-1,False
TRUG,1,1,False
TRXA,1,1,False
TSBK,1,1,False
TSN,1,1,False
TTC,1,1,False
TTEK,1,1,False
TTWO,1,1,False
TWIN,1,1,False
TWST,1,1,False
UA,1,1,False
UAA,1,-1,False
UEC,1,1,False
UFI,1,1,False
UGI,1,1,False
UHAL,1,1,False
UHGI,1,1,False
UI,1,1,False
UNF,1,1,False
UNFI,1,1,False
UNQL,1,1,False
UNXP,1,1,False
UPXI,-1,-1,True
UPYY,1,1,False
USAU,1,1,False
UTI,1,1,False
UUU,1,1,False
UVV,1,1,False
V,1,1,False
VALU,1,1,False
VERU,1,1,False
VFC,1,1,False
VGES,1,1,False
VHLD,1,1,False
VIAV,1,1,False
VIDE,1,1,False
VIPZ,1,1,False
VISM,1,1,False
VLGEA,1,1,False
VOXX,1,1,False
VPLM,1,1,False
VRAR,1,1,False
VRDR,1,1,False
VREX,1,1,False
VRTC,1,1,False
VRVR,1,1,False
VSAT,1,1,False
VSTO,1,1,False
VTGN,1,1,False
VVV,1,1,False
VWFB,1,1,False
WAFD,1,1,False
WAFDP,1,1,False
WBA,1,1,False
WBQNL,1,1,False
WCHD,1,1,False
WDC,1,1,False
WDFC,1,1,False
WEWA,1,1,False
WGO,1,1,False
WHSI,1,1,False
WINR,1,-1,False
WLY,1,1,False
WLYB,1,1,False
WLYW,1,1,False
WMG,1,1,False
WMPN,1,1,False
WMS,1,1,False
WNFT,1,1,False
WOLF,1,1,False
WOLV,1,1,False
WOR,1,1,False
WRLD,1,1,False
WRPT,1,1,False
WTER,1,1,False
WWD,1,1,False
XAIR,1,1,False
XERI,1,1,False
XITO,1,1,False
XSNX,1,1,False
YCBD,1,1,False
YCRM,1,1,False
YJGJ,1,1,False
YUMM,1,1,False
ZDGE,1,1,False
ZEOX,1,1,False
ZS,1,1,False
ZUUS,1,1,False
